Ticker,ShortName,Sector,Industry,Price
CBRE,CBRE Group Inc,Real Estate,Real Estate Services,126.11
CDW,CDW Corporation,Technology,Information Technology Services,166.46
COR,"Cencora, Inc.",Healthcare,Medical Distribution,291.4126
CNC,Centene Corporation,Healthcare,Healthcare Plans,59.51
CNP,"CenterPoint Energy, Inc (Holdin",Utilities,Utilities - Regulated Electric,38.7
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,79.52
CRL,Charles River Laboratories Inte,Healthcare,Diagnostics & Research,120.79
SCHW,Charles Schwab Corporation (The,Financial Services,Capital Markets,83.135
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,384.83
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,137.235
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,51.27
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,286.975
CHD,"Church & Dwight Company, Inc.",Consumer Defensive,Household & Personal Products,92.875
CI,The Cigna Group,Healthcare,Healthcare Plans,334.405
CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,142.41
CTAS,Cintas Corporation,Industrials,Specialty Business Services,212.0134
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,58.98
C,"Citigroup, Inc.",Financial Services,Banks - Diversified,70.23
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,38.385
CLX,Clorox Company (The),Consumer Defensive,Household & Personal Products,138.75
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,280.18
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,72.81
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,71.495
CTSH,Cognizant Technology Solutions ,Technology,Information Technology Services,76.79
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,90.36
CMCSA,Comcast Corporation,Communication Services,Telecom Services,34.3325
CAG,"ConAgra Brands, Inc.",Consumer Defensive,Packaged Foods,23.9045
COP,ConocoPhillips,Energy,Oil & Gas E&P,90.98
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,109.995
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,187.57
CEG,Constellation Energy Corporatio,Utilities,Utilities - Renewable,246.135
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,82.13
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,61.425
GLW,Corning Incorporated,Technology,Electronic Components,45.43
CPAY,"Corpay, Inc.",Technology,Software - Infrastructure,327.07
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,61.95
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,78.11
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,1009.7825
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,25.205
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,439.1225
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,106.09
CSX,CSX Corporation,Industrials,Railroads,28.535
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,301.93
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,68.335
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,199.39
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,202.39
DVA,DaVita Inc.,Healthcare,Medical Care Facilities,140.295
DAY,"Dayforce, Inc.",Technology,Software - Application,59.37
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,115.52
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,484.02
DELL,Dell Technologies Inc.,Technology,Computer Hardware,94.96
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,44.2835
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,31.515
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,80.46
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,135.78
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,164.315
DFS,Discover Financial Services,Financial Services,Credit Services,187.91
DG,Dollar General Corporation,Consumer Defensive,Discount Stores,90.99
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,84.36
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,54.67
DPZ,Domino's Pizza Inc,Consumer Cyclical,Restaurants,478.28
DASH,"DoorDash, Inc.",Communication Services,Internet Content & Information,201.025
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,173.03
DOW,Dow Inc.,Basic Materials,Chemicals,30.46
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,127.065
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,135.53
DUK,Duke Energy Corporation (Holdin,Utilities,Utilities - Regulated Electric,121.105
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,66.595
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,77.27
ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,294.5
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,67.9476
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,256.355
EIX,Edison International,Utilities,Utilities - Regulated Electric,55.39
EW,Edwards Lifesciences Corporatio,Healthcare,Medical Devices,75.93
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,149.94
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,409.865
EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,108.07
ENPH,"Enphase Energy, Inc.",Technology,Solar,45.22
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,83.765
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,109.83
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,160.735
EQT,EQT Corporation,Energy,Oil & Gas E&P,51.335
EFX,"Equifax, Inc.",Industrials,Consulting Services,264.43
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,875.53
EQR,Equity Residential,Real Estate,REIT - Residential,71.79
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,360.865
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,291.28
EL,"Estee Lauder Companies, Inc. (T",Consumer Defensive,Household & Personal Products,57.9
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,347.17
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,68.775
ES,Eversource Energy (D/B/A),Utilities,Utilities - Regulated Electric,59.05
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,46.55
EXE,Expand Energy Corporation,Energy,Oil & Gas E&P,104.68
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,158.57
EXPD,Expeditors International of Was,Industrials,Integrated Freight & Logistics,112.15
EXR,Extra Space Storage Inc,Real Estate,REIT - Industrial,149.45
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,105.8708
FFIV,"F5, Inc.",Technology,Software - Infrastructure,269.83
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,436.14
FICO,Fair Isaac Corporation,Technology,Software - Application,2039.03
FAST,Fastenal Company,Industrials,Industrial Distribution,81.86
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,96.29
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,217.79
FIS,Fidelity National Information S,Technology,Information Technology Services,78.46
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,36.91
FSLR,"First Solar, Inc.",Technology,Solar,128.1533
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,43.015
FI,"Fiserv, Inc.",Technology,Information Technology Services,184.47
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,10.3101
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,105.77
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,67.755
FOXA,Fox Corporation,Communication Services,Entertainment,49.71
FOX,Fox Corporation,Communication Services,Entertainment,46.38
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,19.5
FCX,"Freeport-McMoRan, Inc.",Basic Materials,Copper,37.41
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,190.73
IT,"Gartner, Inc.",Technology,Information Technology Services,428.25
GE,GE Aerospace,Industrials,Aerospace & Defense,206.58
GEHC,GE HealthCare Technologies Inc.,Healthcare,Health Information Services,69.86
GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,395.76
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,25.83
GNRC,Generac Holdlings Inc.,Industrials,Specialty Industrial Machinery,114.29
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,273.8
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,55.51
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,45.22
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,119.11
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,103.71
GPN,Global Payments Inc.,Industrials,Specialty Business Services,77.955
GL,Globe Life Inc.,Financial Services,Insurance - Life,121.59
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,176.8
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Capital Markets,564.34
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,20.3
HIG,"The Hartford Insurance Group, I",Financial Services,Insurance - Property & Casualty,124.23
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,61.408
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,346.445
DOC,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,17.855
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,64.91
HSY,The Hershey Company,Consumer Defensive,Confectioners,164.0575
HES,Hess Corporation,Energy,Oil & Gas E&P,131.32
HPE,Hewlett Packard Enterprise Comp,Technology,Communication Equipment,16.945
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,238.445
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,52.75
HD,"Home Depot, Inc. (The)",Consumer Cyclical,Home Improvement Retail,362.7303
HON,Honeywell International Inc.,Industrials,Conglomerates,213.556
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,29.47
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,14.735
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,152.45
HPQ,HP Inc.,Technology,Computer Hardware,25.975
HUBB,Hubbell Inc,Industrials,Electrical Equipment & Parts,351.26
HUM,Humana Inc.,Healthcare,Healthcare Plans,257.58
HBAN,Huntington Bancshares Incorpora,Financial Services,Banks - Regional,15.005
HII,"Huntington Ingalls Industries, ",Industrials,Aerospace & Defense,227.72
IBM,International Business Machines,Technology,Information Technology Services,244.7647
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,179.98
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,471.625
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,241.8285
INCY,Incyte Corporation,Healthcare,Biotechnology,62.18
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,75.99
PODD,Insulet Corporation,Healthcare,Medical Devices,256.605
INTC,Intel Corporation,Technology,Semiconductors,20.565
ICE,Intercontinental Exchange Inc.,Financial Services,Financial Data & Stock Exchanges,172.695
IFF,International Flavors & Fragran,Basic Materials,Specialty Chemicals,78.7155
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,45.3417
