Ticker,ShortName,Sector,Industry,Price
PHM,PulteGroup,Consumer Discretionary,Homebuilding,104.16999816894531
PWR,Quanta Services,Industrials,Construction & Engineering,326.2099914550781
QCOM,Qualcomm,Information Technology,Semiconductors,141.1300048828125
DGX,Quest Diagnostics,Health Care,Health Care Services,177.4550018310547
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",232.1999969482422
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,141.52000427246094
RTX,RTX Corporation,Industrials,Aerospace & Defense,129.47999572753906
O,Realty Income,Real Estate,Retail REITs,57.043701171875
REG,Regency Centers,Real Estate,Retail REITs,72.81999969482422
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,608.219970703125
RF,Regions Financial Corporation,Financials,Regional Banks,21.014999389648438
RSG,Republic Services,Industrials,Environmental & Facilities Services,250.96499633789062
RMD,ResMed,Health Care,Health Care Equipment,239.12559509277344
RVTY,Revvity,Health Care,Health Care Equipment,94.28500366210938
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,254.4199981689453
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,56.560001373291016
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,568.3499755859375
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,140.66000366210938
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",228.27999877929688
SPGI,S&P Global,Financials,Financial Exchanges & Data,506.8800048828125
CRM,Salesforce,Information Technology,Application Software,275.9700012207031
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,238.89999389648438
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,34.5099983215332
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",92.3499984741211
SRE,Sempra,Utilities,Multi-Utilities,75.61000061035156
NOW,ServiceNow,Information Technology,Systems Software,980.0
SHW,Sherwin-Williams,Materials,Specialty Chemicals,360.489990234375
SPG,Simon Property Group,Real Estate,Retail REITs,160.38999938964844
SWKS,Skyworks Solutions,Information Technology,Semiconductors,66.80999755859375
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,114.0447006225586
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,41.32500076293945
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,317.48748779296875
SOLV,Solventum,Health Care,Health Care Technology,67.2300033569336
SO,Southern Company,Utilities,Electric Utilities,91.05000305175781
LUV,Southwest Airlines,Industrials,Passenger Airlines,29.815000534057617
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,61.185001373291016
SBUX,Starbucks,Consumer Discretionary,Restaurants,83.9800033569336
STT,State Street Corporation,Financials,Asset Management & Custody Banks,90.66500091552734
